outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
1,"7th Ave. (B,Q)",310 FLATBUSH AVE Brooklyn NY 11238,11238,partially hidden behind counter,Y,Y,Y,Janelle,BK,JP,6/38,6,38,6/38,6,38,SA,2/34,2,34,4/34,4,34,,,,,,,
2,"7th Ave. (B,Q)",387 FLATBUSH AVE Brooklyn NY 11238,11238,"very far behind counter, difficult to see",Y,Y ,Y - But does not capture all cigs on display,Janelle,BK,JP,3/14,3,14,4/14,4,14,SA,3/18,3,18,3/18,3,18,,,,,,,
3,"7th Ave. (B,Q)",322 FLATBUSH AVE Brooklyn NY 11238,11238,Difficult to see if menthol,Y ,Y ,Y - Blurry ,Janelle,BK,JP,60/339,60,339,60/339,60,339,SA,6/42,6,42,10/42,10,42,,,,,,,
4,Bedford Ave. (L),150 N 7TH ST Brooklyn NY 11211,11221,,Y,Y,Y,Janelle & Sally,BK,JP,9/34,9,34,10/34,10,34,SA,9/34,9,34,11/34,11,34,,,,,,,
5,Bedford Ave. (L),183 BEDFORD AVE Brooklyn NY 11211,11221,,Y,Y,Y,Janelle & Sally,BK,JP,14/46,14,46,15/46,15,46,SA,15/50,15,50,20/50,20,50,,,,,,,
6,Bedford Ave. (L),167 BEDFORD AVE Brooklyn NY 11211,11221,paritally blocked by vendor,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,23/95,23,95,28/95,28,95,RL,23/93,23,93,28/93,28,93,,,,,,,
7,Bedford Ave. (L),160 BEDFORD AVE Brooklyn NY 11249,11249,,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,8/56,8,56,11/56,11,56,RL,8/56,8,56,10/56,10,56,,,,,,,
8,Bedford Ave. (L),154 BEDFORD AVE Brooklyn NY 11249,11249,display is misleading,Y,Y ,Y,Janelle & Sally,BK,JP,6/72,6,72,13/72,13,72,RL,5/70,5,70,13/70,13,70,,,,,,,
9,Bedford Ave. (L),185 BEDFORD AVE Brooklyn NY 11211,11221,Best wall of cigs seen ,Y,Y ,Y ,Janelle & Sally,BK,JP,99/293,99,293,108/293,108,293,SA,10/44,10,44,13/44,13,44,,,,,,,
10,"Kings Highway (B,Q)",1932 KINGS HWY Brooklyn NY 11229,11229,blocked by vendor,Y,Y,N ,Janelle,BK,JP,5/18,5,18,5/18,5,18,RL,5/18,5,18,5/18,5,18,,,,,,,
11,"Kings Highway (B,Q)",1521 KINGS HWY Brooklyn NY 11229,11229,Pharmacy,Y,Y,Y - Good quality,Janelle,BK,JP,16/130,16,130,22/130,22,130,SA,14/31,14,31,4/31,4,31,,,,,,,
12,"Kings Highway (B,Q)",1806 KINGS HWY Brooklyn NY 11229,11229,,Y,Y,Y - Good quality,Janelle,BK,JP,32/118,32,118,38/118,38,118,SA,36/122,36,122,43/122,43,122,,,,,,,
13,"Kings Highway (B,Q)",1401 KINGS HWY Brooklyn NY 11229,11229,,Y,Y,Y - Good quality,Janelle,BK,JP,66/342,66,342,78/342,78,342,SA,56/342,56,342,106/342,106,342,,,,,,,
14,"Kings Highway (B,Q)",1101 QUENTIN RD Brooklyn NY 11229,11229,,Y,Y ,Y - Not as clear as others but usable,Janelle,BK,JP,4/35,4,35,7/35,7,35,SA,9/35,9,35,11/35,11,35,,,,,,,
15,"Kings Highway (B,Q)",1426 KINGS HWY Brooklyn NY 11229,11229,Don't have clear photos of full counter display,Y,Y ,Y - Some are clear but does not capture all cigs on display; picture that has all cigs on display blurry,Janelle,BK,JP,8/78,8,78,10/78,10,78,SA,13/57,13,57,7/57,7,57,,,,,,,
16,"Kings Highway (B,Q)",1924 KINGS HWY Brooklyn NY 11229,11229,,Y,Y ,Y - Not as clear as others but usable,Janelle,BK,JP,27/165,27,165,34/165,34,165,SA,24/102,24,102,36/102,36,102,,,,,,,
17,"Kings Highway (B,Q)",1690 E 16TH ST Brooklyn NY 11229,11229,,Y,Y ,Y - Good quality,Janelle,BK,JP,28/112,28,112,31/112,31,112,SA,29/126,29,126,35/126,35,126,,,,,,,
18,"Kings Highway (B,Q)",947 KINGS HWY Brooklyn NY 11223,11223,,Y,Y ,Y - Good quality,Janelle,BK,JP,49/191,49,191,56/191,56,191,SA,46/234,46,234,68/234,68,234,,,,,,,
19,"Kings Highway (B,Q)",1720 KINGS HWY Brooklyn NY 11229,11229,Pharmacy,Y,Y ,Y - Good quality,Janelle,BK,JP,36/200,36,200,50/200,50,200,SA,24/190,24,190,46/190,46,190,,,,,,,
20,Kosciuszko St. (J),1165 BROADWAY Brooklyn NY 11221,11221,,Y,Y,Y - Not as clear but usable,Janelle,BK,JP,18/104,18,104,18/104,18,104,SA,6/13,6,13,6/13,6,13,,,,,,,
21,Kosciuszko St. (J),1173 BROADWAY Brooklyn NY 11221,11221,,Y,Y,Y - Not as clear but usable,Janelle,BK,JP,13/180,13,180,13/180,13,180,SA,4/25,4,25,5/25,5,25,,,,,,,
22,Kosciuszko St. (J),1076 BROADWAY Brooklyn NY 11221,11221,,Y,Y ,Y - Good quality but cannot really identify number of packs,Janelle,BK,JP,4/16,4,16,5/16,5,16,RL,4/16,4,16,7/16,7,16,,,,,,,
23,Kosciuszko St. (J),1117 BROADWAY Brooklyn NY 11221,11221,,Y,Y ,Y - Good quality but cannot really identify number of packs,Janelle,BK,JP,7/21,7,21,8/21,8,21,RL,6/21,6,21,8/21,8,21,,,,,,,
24,Norwood & Fulton,3185 FULTON ST Brooklyn NY 11208,11208,1/3 menthol,Y,Y,Y - Blocked view but was able to analyze,Janelle & Sally,BK,JP,1/3,1,3,1/3,1,3,RL,1/3,1,3,1/3,1,3,,,,,,,
25,Norwood & Fulton,3139 FULTON ST Brooklyn NY 11208,11208,,Y,Y,Y,Janelle & Sally,BK,JP,5/12,5,12,5/12,5,12,RL,5/12,5,12,5/12,5,12,,,,,,,
26,Norwood & Fulton,3142 FULTON ST Brooklyn NY 11208,11208,,Y,Y,Y,Janelle & Sally,BK,JP,0/18,0,18,0/18,0,18,RL,0/18,0,18,0/18,0,18,,,,,,,
27,Norwood & Fulton,3118 FULTON ST Brooklyn NY 11208,11208,,Y,Y,Y,Janelle & Sally,BK,JP,39/153,39,153,51/153,51,153,RL,40/150,40,150,52/150,52,150,,,,,,,
28,"Pennsylvania Ave. (2,3,4,5)",734 DUMONT AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Blurry but usable; number of packs cannot be determined,Janelle,BK,JP,2/4,2,4,2/4,2,4,SA,2/4,2,4,2/4,2,4,,,,,,,
29,"Pennsylvania Ave. (2,3,4,5)",575 RIVERDALE AVE Brooklyn NY 11207,11207,Not clearly visible ,Y,Y ,Y - Cigs are hidden in clear pictures,Janelle,BK,JP,2/4,2,4,2/4,2,4,RL,2/4,2,4,2/4,2,4,,,,,,,
30,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Good but slightly blurry ,Janelle,BK,JP,2/7,2,7,2/7,2,7,SA,3/6,3,6,4/6,4,6,,,,,,,
31,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Good quality although a bit dark,Janelle,BK,JP,1/9,1,9,1/9,1,9,SA,8/19,8,19,11/19,11,19,,,,,,,
32,"Pennsylvania Ave. (2,3,4,5)",509 PENNSYLVANIA AVE Brooklyn NY 11207,11207,"Folder on drive labeled ""Probably(?)""",Y,Y ,Y - Good quality,Janelle,BK,JP,12/22,12,22,12/22,12,22,SA,13/26,13,26,14/26,14,26,,,,,,,
33,"Sterling St. (2,5)",413 LEFFERTS AVE Brooklyn NY 11225,11225,,Y,Y,Y - Good quality,Janelle,BK,JP,10/15,10,15,10/15,10,15,SA,10/15,10,15,10/15,10,15,,,,,,,
34,"Sterling St. (2,5)",250 EMPIRE BLVD Brooklyn NY 11225,11225,,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,14/20,14,20,16/20,16,20,SA,14/20,14,20,16/20,16,20,,,,,,,
35,"Sterling St. (2,5)",1079 NOSTRAND AVE Brooklyn NY 11225,11225,no prices,Y,Y ,Y - Good quality but cashier is blocking cigs,Janelle,BK,JP,14/48,14,48,14/48,14,48,SA,4/18,4,18,4/18,4,18,,,,,,,
36,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225,11225,no prices,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,10/88,10,88,12/88,12,88,SA,5/21,5,21,8/21,8,21,,,,,,,
37,"Sterling St. (2,5)",1040 NOSTRAND AVE Brooklyn NY 11225,11225,,Y,Y ,Y - Good quality; cannot identify number of packs sold,Janelle,BK,JP,4/9,4,9,4/9,4,9,SA,6/11,6,11,7/11,7,11,,,,,,,
38,"Sterling St. (2,5)",1037 NOSTRAND AVE Brooklyn NY 11225,11225,,Y,Y ,Y - Good quality,Janelle,BK,JP,13/169,13,169,13/169,13,169,SA,4/13,4,13,4/13,4,13,,,,,,,
39,"Sterling St. (2,5)",410 ROGERS AVE Brooklyn NY 11225,11225,cigs are hidden behind counter,Y,Y ,Y - Good quality; cigs not really seen but still usable,Janelle,BK,JP,2/3,2,3,3/3,3,3,RL,3/3,3,3,3/3,3,3,,,,,,,
40,"161 St - Yankee Stadium, 4, B & D train",87 E 161ST ST Bronx NY 10451,10451,,Y,Y,Y,Rachel,BX,JP,2/5,2,5,2/5,2,5,RL,2/5,2,5,2/5,2,5,,,,,,,
41,"161 St - Yankee Stadium, 4, B & D train",846 GERARD AVE Bronx NY 10451,10451,obstace blocking- still quantifiable,Y,Y,Y,Rachel,BX,JP,5/110,5,110,13/110,13,110,RL,5/55,5,55,13/55,13,55,,,,,,,
42,"161 St - Yankee Stadium, 4, B & D train",888 GRAND CONCOURSE Bronx NY 10451,10451,obstace blocking- still quantifiable,Y,Y,Y,Rachel,BX,JP,30/336,30,336,30/336,30,336,RL,30/336,30,336,30/336,30,336,,,,,,,
43,"161 St - Yankee Stadium, 4, B & D train",898 GERARD AVE Bronx NY 10452,10452,,Y,Y,Y,Rachel,BX,JP,7/16,7,16,7/16,7,16,RL,7/16,7,16,9/16,9,16,,,,,,,
44,"161 St - Yankee Stadium, 4, B & D train",66 E 161ST ST Bronx NY 10451,10451,,Y,Y,Y,Rachel,BX,JP,82/352,82,352,88/352,88,352,RL,80/210,80,210,85/210,85,210,,,,,,,
45,"161 St - Yankee Stadium, 4, B & D train",90 E 161ST ST Bronx NY 10451,10451,,Y,Y,Y,Rachel,BX,JP,11/156,11,156,11/156,11,156,RL,11/27,11,27,11/27,11,27,,,,,,,
46,"161 St - Yankee Stadium, 4, B & D train",56 E 161ST ST Bronx NY 10451,10451,,Y,Y,Y,Rachel,BX,JP,30/84,30,84,39/84,39,84,RL,25/45,25,45,25/42,25,42,,,,,,,
47,"176 St, 4 train",27 E 175TH ST Bronx NY 10453,10453,barely visible/behind other goods,Y,N,Y,Rachel,BX,RL,6/11,6,11,6/11,6,11,SA,6/18,6,18,7/18,7,18,JP,9/28,9,28,9/28,9,28
48,"176 St, 4 train",1704 GRAND AVE Bronx NY 10453,10453,,Y,N,Y,Rachel,BX,RL,13/42,13,42,17/50,17,50,SA,5/22,5,22,8/22,8,22,JP,17/130,17,130,17/130,17,130
49,"176 St, 4 train",1888 JEROME AVE Bronx NY 10453,10453,,Y,N,N,Rachel,BX,RL,5/9,5,9,5/12,5,12,SA,4/9,4,9,4/9,4,9,JP,6/16,6,16,7/16,7,16
50,"231 Street Station, 1 train",5582 BROADWAY Bronx NY 10463,10463,,Y,Y,Y,Sofiya,BX,JP,47/133,47,133,59/133,59,133,SA,46/116,46,116,61/116,61,116,,,,,,,
51,"231 Street Station, 1 train",141 W 231ST ST Bronx NY 10463,10463,,Y,Y,Y,Sofiya,BX,JP,82/290,82,290,97/290,97,290,SA,15/60,15,60,18/60,18,60,,,,,,,
52,"231 Street Station, 1 train",231 W 231ST ST Bronx NY 10463,10463,Person in front of some cigarettes,Y,Y ,Y ,Sofiya,BX,JP,10/70,10,70,13/70,13,70,SA,6/70,6,70,6/70,6,70,,,,,,,
53,"231 Street Station, 1 train",5564 BROADWAY Bronx NY 10463,10463,Walgreens,Y,Y ,Y ,Sofiya,BX,JP,86/360,86,360,116/360,116,360,RL,89/360,89,360,85/360,85,360,,,,,,,
54,"231 Street Station, 1 train",5625 BROADWAY Bronx NY 10463,10463,,Y,Y ,Y ,Sofiya,BX,JP,8/32,8,32,10/32,10,32,SA,7/17,7,17,8/17,8,17,,,,,,,
55,"231 Street Station, 1 train",206 W 231ST ST Bronx NY 10463,10463,,Y,Y ,Y ,Sofiya,BX,JP,2/6,2,6,2/6,2,6,SA,2/7,2,7,2/7,2,7,,,,,,,
56,"Bronx Park East, 2 & 5 train",2001 WHITE PLAINS RD Bronx NY 10462,10462,,Y,N,Y,Rachel,BX,RL,16/16,16,16,20/20,20,20,SA,5/9,5,9,5/9,5,9,JP,28/28,28,28,28/28,28,28
57,"Bronx Park East, 2 & 5 train",2068 WALLACE AVE Bronx NY 10462,10462,partially blocked by vendor,Y,N ,Y,Rachel,BX,RL,12/16,12,16,12/18,12,18,SA,13/30,13,30,14/30,14,30,JP,12/30,12,30,12/30,12,30
58,"Bronx Park East, 2 & 5 train",1810 WHITE PLAINS RD Bronx NY 10462,10462,,Y,Y,Y,Rachel,BX,RL,2/11,2,11,2/9,2,9,SA,4/18,4,18,6/18,6,18,JP,3/17,3,17,6/17,6,17
59,"Bronx Park East, 2 & 5 train",2009 CRUGER AVE Bronx NY 10462,10462,,Y,Y,Y,Rachel,BX,RL,5/40,5,40,6/35,6,35,SA,7/18,7,18,8/18,8,18,JP,6/73,6,73,6/73,6,73
60,"Bronx Park East, 2 & 5 train",1971 BRONXDALE AVE Bronx NY 10462,10462,,Y,Y,Y,Rachel,BX,AV,30/131,30,131,30/131,30,131,SA,6/18,6,18,7/18,7,18,JP,46/144,46,144,46/144,46,144
61,"Bronx Park East, 2 & 5 train",685 MORRIS PARK AVE Bronx NY 10462,10462,,Y,Y,Y,Rachel,BX,RL,30/45,30,45,25/48,25,48,SA,17/38,17,38,18/38,18,38,JP,18/38,18,38,18/38,18,38
62,"Prospect Av, 2&5 Train",855 PROSPECT AVE Bronx NY 10459,10459,,Y,Y,Y,Rachel,BX,RL,2/12,2,12,10/26,10,26,JP,9/27,9,27,9/27,9,27,,,,,,,
63,"Prospect Av, 2&5 Train",850 LONGWOOD AVE Bronx NY 10459,10459,cigs blocked,Y,Y,Y,Rachel,BX,RL,5/5,5,5,5/7,5,7,JP,5/10,5,10,5/10,5,10,,,,,,,
64,"Prospect Av, 2&5 Train",839C PROSPECT AVE Bronx NY 10459,10459,cigs blocked by vendor,Y,Y,Y,Rachel,BX,RL,5/8,5,8,5/7,5,7,JP,8/8,8,8,8/8,8,8,,,,,,,
65,"St Lawrence Av, 6 train",1158 SAINT LAWRENCE AVE Bronx NY 10472,10472,poor quality ,Y,N,N,Rachel,BX,JP,23/117,23,117,25/117,25,117,SA,4/18,4,18,5/18,5,18,,,,,,,
66,"St Lawrence Av, 6 train",1781 WESTCHESTER AVE Bronx NY 10472,10472,,Y,Y,Y,Rachel,BX,RL,5/10,5,10,5/10,5,10,SS,5/15,5,15,5/15,5,15,JP,5/10,5,10,5/10,5,10
67,"St Lawrence Av, 6 train",1791 GLEASON AVE Bronx NY 10472,10472,,Y,Y,Y,Rachel,BX,RL,4/24,4,24,4/31,4,31,SA,27/40,27,40,28/40,28,40,JP,25/27,25,27,25/27,25,27
68,"St Lawrence Av, 6 train",1721 E 172ND ST Bronx NY 10472,10472,poor quality ,Y,Y,Y,Rachel,BX,RL,0/24,0,24,0/20,0,20,JP,0/18,0,18,0/18,0,18,,,,,,,
69,"St Lawrence Av, 6 train",1840 WESTCHESTER AVE Bronx NY 10472,10472,,Y,Y,Y,Rachel,BX,RL,13/41,13,41,13/40,13,40,SA,16/40,16,40,17/40,17,40,JP,14/39,14,39,19/39,19,39
70,"St Lawrence Av, 6 train",1792 WESTCHESTER AVE Bronx NY 10472,10472,,Y,N,,Rachel,BX,RL,8/12,8,12,17/42,17,42,SA,9/36,9,36,12/36,12,36,JP,26/59,26,59,26/59,26,59
71,"Westchester Sq - E Tremont, 6 train ",79 WESTCHESTER SQ Bronx NY 10461,10461,,Y,Y,Y,Rachel,BX,AV,38/354,38,354,38/354,38,354,SA,12/63,12,63,14/63,14,63,JP,44/255,44,255,57/255,57,255
72,"Westchester Sq - E Tremont, 6 train ",73 WESTCHESTER SQ Bronx NY 10461,10461,,Y,Y,Y,Rachel,BX,RL,10/15,10,15,10/19,10,19,SA,15/25,15,25,16/25,16,25,JP,15/27,15,27,16/27,16,27
73,"Westchester Sq - E Tremont, 6 train ",17 WESTCHESTER SQ Bronx NY 10461,10461,,Y,Y,Y,Rachel,BX,RL,8/15,8,15,10/15,10,15,SA,36/104,36,104,46/104,46,104,JP,46/112,46,112,49/112,49,112
74,"Westchester Sq - E Tremont, 6 train ", 91 WESTCHESTER SQ Bronx NY 10461,10461,,Y,Y,Y,Rachel,BX,RL,7/20,7,20,7/23,7,23,SA,8/41,8,41,21/41,21,41,JP,12/40,12,40,14/40,14,40
75,"Westchester Sq - E Tremont, 6 train ",2748 E TREMONT AVE Bronx NY 10461,10461,CVS,Y,Y,Y,Rachel,BX,JP,49/220,49,220,55/220,55,220,AV,45/200,45,225,54/225,54,225,,,,,,,
76,"Westchester Sq - E Tremont, 6 train ",55 WESTCHESTER SQ Bronx NY 10461,10461,walgreens,Y,Y,Y,Rachel,BX,JP,52/240,52,240,62/240,62,240,RL,40/219,40,219,45/219,45,219,,,,,,,
77,"Westchester Sq - E Tremont, 6 train ",134 WESTCHESTER SQUARE Bronx NY 10461,10461,Vendor empty,Y,Y,Y,,BX,JP,0/15,0,15,0/15,0,15,SA,8/12,8,12,8/12,8,12,,,,,,,
