outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
78,"Westchester Sq - E Tremont, 6 train ",15 WESTCHESTER SQ Bronx NY 10461,10461,partially blocked by vendor,Y,Y,Y,,BX,RL,0/12,0,12,0/10,0,10,SA,4/16,4,16,5/16,5,16,JP,4/14,4,14,4/14,4,14
79,"125 St, 1 train",3137 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; good pictures,Sally,MN,RL,13/34,12,34,15/34,15,34,SS,12/35,12,35,15/35,15,35,SA,15/35,15,35,16/35,16,35
80,"125 St, 1 train",3189 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,31/140,31,140,39/140,39,140,SS,27/131,27,131,32,32,131,,,,,,,
81,"125 St, 1 train",3161 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,8/14,8,14,8/14,8,14,SS,9/25,9,25,10/25,10,1/25,,,,,,,
82,"125 St, 1 train",568 W 125TH ST Manhattan NY 10027,10027,cigarette counter cut off/pharmacy,Y,Y,Y; good pictures,Sally,MN,RL,37/195,37,195,49/195,49,195,SS,37/199,37,199,50/199,50,199,,,,,,,
83,"125 St, 1 train",566 W 126TH ST Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,8/30,8,30,14/30,14,30,SS,8/24,8,24,8/24,8,24,,,,,,,
84,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,9/40,9,40,9/40,9,40,SS,9/12,9,12,10/24,10,12,,,,,,,
85,"125 St, 1 train",3149 BROADWAY Manhattan NY 10027,10027,bad images,Y,N,,,MN,SA,4/14,4,14,5/14,5,14,SS,3/14,3,14,4/14,4,14,,,,,,,
86,"96th St, 1, 2, &3 train",700 AMSTERDAM AVE Manhattan NY 10025,10025,,Y,Y,Y; acceptable,Sally,MN,SA,52/129,52,129,63/129,63,129,SS,55/95,55,95,58/95,58,95,,,,,,,
87,"96th St, 1, 2, &3 train",2482 BROADWAY Manhattan NY 10025,10025,,Y,Y,Y; good but covered,Sally ,MN,SA,25/120,25,120,33/120,33,120,SS,30/109,30,109,37/109,37,109,,,,,,,
88,"96th St, 1, 2, &3 train",Â 214 W 96TH ST Manhattan NY 10025,10025,,Y,Y,Y; acceptable,Sally,MN,SA,7/27,7,27,8/27,8,27,SS,5/24,5,24,6/24,6,24,,,,,,,
89,"96th St, 1, 2, &3 train",2567 BROADWAY Manhattan NY 10025,10025,pharmacy,Y,Y,Y; good,Sally,MN,AV,38/225,38,225,43/225,43,225,SS,54/163,54,163,59/163,59,163,,,,,,,
90,"96th St, 1, 2, &3 train",2575 BROADWAY Manhattan NY 10025,10025,,Y,Y,Y; good,Sally,MN,AV,51/232,51,232,64/232,64,232,SS,56/205,56,205,67/205,67,205,,,,,,,
91,"96th St, 1, 2, &3 train",2528 BROADWAY Manhattan NY 10025,10025,photos maybe be switched with the outlet below,Y,Y,Y; acceptable,Sally,MN,SA,8/85,8,85,11/85,11,85,SS,55/253,55,253,67/253,67,253,,,,,,,
92,"Canal St, 1 & 2 train",17 THOMPSON ST Manhattan NY 10013,10013,,Y,Y,Y; acceptable,Sally,MN,SA,7/24,7,24,8/24,8,24,SS,8/25,8,25,9/25,9,25,,,,,,,
93,"Cortlandt St, N & R train",1 LIBERTY PLZ Manhattan NY 10006,10006,,Y,Y,Y; acceptable,Sally,MN,SA,5/36,5,36,7/36,7,36,SS,3/30,3,30,4/30,4,30,,,,,,,
94,"Cortlandt St, N & R train",6 CORTLANDT ST Manhattan NY 10007,10007,,Y,Y,Y; acceptable,Sally,MN,SA,15/66,15,66,22/66,22,66,SS,12/58,12,58,14/58,14,58,,,,,,,
95,"Cortlandt St, N & R train",7 DEY ST Manhattan NY 10007,10007,,Y,Y,Y; far but acceptable,Sally,MN,SA,5/25,5,25,6/25,6,25,SS,23/114,23,114,23/114,23,114,,,,,,,
96,"Cortlandt St, N & R train",12 JOHN ST Manhattan NY 10038,10038,no cigarettes visible,Y,N,,,MN,SA,17/64,17,64,19/64,19,64,SS,17/64,17,64,36/64,36,64,,,,,,,
97,"Cortlandt St, N & R train",15 MAIDEN LN Manhattan NY 10038,10038,bad images,Y,N,,,MN,SA,2/12,2,12,2/12,2,12,RL,2/12,2,12,2/12,2,12,,,,,,,
98,"Cortlandt St, N & R train",24 MAIDEN LN Manhattan NY 10038,10038,,Y,Y,Y; acceptable ,Sally,MN,SA,24/100,24,100,37/100,37,100,SS,21/84,21,84,25/84,25,84,,,,,,,
99,"Cortlandt St, N & R train",65 NASSAU ST Manhattan NY 10038,10038,no cigarettes visible,Y,N,,,MN,SA,5/19,5,19,7/18,7,18,RL,6/19,6,19,10/19,10,19,,,,,,,
100,"Inwood - 207 St,  A train",4879 BROADWAY Manhattan NY 10034,10034,Behind other tobacco products,Y,N,0,Sofiya,MN,JP,2/5,2,5,2/6,2,5,SA,2/5,2,5,2/5,2,5,,,,,,,
101,"Inwood - 207 St,  A train",4973 BROADWAY Manhattan NY 10034,10034,cigarettes partially blocked by vendor,Y,N,N,Sofiya,MN,RL,3/4,3,4,3/4,3,4,SA,14/56,14,56,19/56,19,56,,,,,,,
102,"Inwood - 207 St,  A train",635 W 207TH ST Manhattan NY 10034,10034,cigs behind dark plexigass; difficult to see,Y,Y,Y,Sofiya,MN,SA,3/14,3,14,5/14,5,14,RL,3/14,3,14,5/14,5,14,,,,,,,
103,"Inwood - 207 St,  A train",630 W 207TH ST Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,SA,2/12,2,12,3/12,3,12,SS,2/12,2,12,5/12,5,12,,,,,,,
104,"Inwood - 207 St,  A train",581 W 207TH ST Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,JP,4/13,4,13,4/13,4,13,SA,4/13,4,13,5/13,5,13,,,,,,,
105,"Inwood - 207 St,  A train",132 VERMILYEA AVE Manhattan NY 10034,10034,,Y,Y,Y,Sofiya,MN,JP,4/9,4,10,5/10,5,10,SA,4/10,4,10,5/10,5,10,,,,,,,
106,"Union Square Station, 4, 5, 6, L, N, Q & R train",141 4TH AVE Manhattan NY 10003,10003,"* probably should be cigarettes, dark pictures",Y,N,"pretty bad, dark pictures for cigarettes ",Sally ,MN,RL,11/34,11,34,14/34,14,34,SS,16/79,16,79,19/79,19,79,,,,,,,
107,"Union Square Station, 4, 5, 6, L, N, Q & R train",873 BROADWAY Manhattan NY 10003,10003,,Y,Y,"yes, good pictures",Sally,MN,AV,18/63,18,63,22/63,22,63,SS,15/62,15,62,19/62,19,62,,,,,,,
108,"Union Square Station, 4, 5, 6, L, N, Q & R train",239 EAST 14TH STREET Manhattan NY 10003 ,10003,,Y,Y,"okay, but could use closer pictures",Sally,MN,AV,19/171,19,171,23/171,23,171,SS,29/135,29,135,31/135,31,135,,,,,,,
109,"Union Square Station, 4, 5, 6, L, N, Q & R train",S/W/C UNION SQUARE EAST Manhattan 10003,10003,,Y,Y,"yes, perfect!",Sally,MN,ZZ,35/187,35,187,19/138,19,138,SS,19/138,19,138,26/138,26,138,,,,,,,
110,"Union Square Station, 4, 5, 6, L, N, Q & R train",1 UNION SQ S Manhattan NY 10003,10003,Duane Reade,Y,Y,"yes, but cashier in the way",Sally,MN,AV,42/320,42,320,53/320,53,320,SS,40/285,40,285,51/285,51,285,,,,,,,
111,"Union Square Station, 4, 5, 6, L, N, Q & R train",145 4TH AVE Manhattan NY 10003,10003,Duane Reade,Y,Y,"yes, good pictures",Sally,MN,AV,34/322,34,322,52/322,52,322,SS,25/278,25,278,40/278,40,278,,,,,,,
112,21st St. - Van Alst (G),2302 JACKSON AVE Queens NY 11101,11101,partially blocked,Y,Y,Y; vendor in way,,QN,RL,24/51,24,51,39/51,39,51,AV,24/98,24,98,30/98,30,98,,,,,,,
113,21st St. - Van Alst (G),4520 23RD ST Queens NY 11101,11101,,Y,Y,Y,,QN,RL,39/72,39,72,59/72,59,72,AV,7/62,7,62,7/62,7,62,,,,,,,
114,21st St. - Van Alst (G),1157 44TH DR Queens NY 11101,11101,partially blocked,Y,Y,Y; vendor in way,,QN,RL,26/117,26,117,34/117,34,117,SA,2/14,2,14,3/14,3,14,,,,,,,
115,21st St. - Van Alst (G),4516 23RD ST Queens NY 11101,11101,,Y,Y,Y,,QN,RL,43/123,43,123,47/117,47,117,SA,12/46,12,46,18/46,18,46,,,,,,,
116,21st St. - Van Alst (G),2103 45TH AVE Queens NY 11101,11101,,Y,Y,Y,,QN,RL,26/124,26,124,30/124,30,124,AV,14/48,14,48,15/48,15,48,,,,,,,
117,21st St. - Van Alst (G),2123 49TH AVE Queens NY 11101,11101,partially blocked by vendor,Y,Y,Y; vendor in way,,QN,RL,79/149,79,142,86/142,86,142,AV,10/27,10,27,10/27,10,27,,,,,,,
118,"65th St. (E,M,R)",7211 35TH AVE Queens NY 11372,11377,,Y,N,Y- bad quality,Rachel,QN,RL,3/15,3,15,5/15,5,15,SA,,,,,,,,,,,,,
119,"65th St. (E,M,R)",4002 69TH ST Queens NY 11377,11377,,Y,Y,Y-acceptable,Rachel,QN,RL,28/44,28,44,38,38,44,SA,28/92,28,92,36/92,26,92,,,,,,,
120,"65th St. (E,M,R)",7302 37TH AVE Queens NY 11372,11377,,Y,Y,Y-acceptable,Rachel,QN,RL,10/46,10,46,20/46,20,46,SA,11/54,11,54,19/54,19,54,,,,,,,
121,"65th St. (E,M,R)",6302 BROADWAY Queens NY 11377,11377,photos are dark,Y,Y,Y,Rachel,QN,RL,27/65,27,65,40/65,40,65,SA,,,,,,,,,,,,,
122,"67th Ave. (E,M,R)",6533 AUSTIN ST Queens NY 11374,11374,only visible in large boxes,Y,Y,Y-accepable,Rachel,QN,RL,5/11,5,11,8/11,8,11,SA,5/23,5,23,6/23,6,23,,,,,,,
123,"67th Ave. (E,M,R)",10122 QUEENS BLVD Queens NY 11375,11375,photos are dark,Y,Y,Y-acceptable,Rachel,QN,RL,7/13,7,13,11/13,11,13,SA,7/18,7,18,7/18,7,18,,,,,,,
124,"67th Ave. (E,M,R)",6725 AUSTIN ST Queens NY 11375,11375,partially blocked by signs,Y,Y,Y-acceptable,Rachel,QN,RL,10/15,10,15,10/15,10,15,SA,8/52,8,52,11/52,11,52,,,,,,,
125,"67th Ave. (E,M,R)",9702 QUEENS BLVD Queens NY 11374,11374,,Y,Y,Y,Rachel,QN,RL,23/54,23,54,35/54,35,54,SA,,,,,,,,,,,,,
126,"67th Ave. (E,M,R)",10301 QUEENS BLVD Queens NY 11375,11375,,Y,Y,Y,Rachel,QN,RL,37/96,37,96,55/96,55,96,SA,37/115,37,115,40/115,40,115,,,,,,,
131,"Elmhurst Ave. (E,M,R)",8525 WHITNEY AVE Queens NY 11373,11373,,Y,Y,Y-acceptable,Rachel,QN,RL,3/12,3,12,6/12,6,12,SA,5/20,5,20,6/20,6,20,,,,,,,
132,"Elmhurst Ave. (E,M,R)",8281 BROADWAY Queens NY 11373,11373,bad images,Y,N,,,QN,RL,11/33,11,33,16/33,16,33,SA,12/57,12,57,14/57,14,57,,,,,,,
133,"Elmhurst Ave. (E,M,R)",8233 BROADWAY Queens NY 11373,11373,pics to be brightened,Y,Y,Y- good,Rachel,QN,SS,5/17,5,17,5/17,5,17,SA,7/19,7,29,7/19,7,19,,,,,,,
134,"Elmhurst Ave. (E,M,R)",8411 ELMHURST AVE Queens NY 11373,11373,oversized cig boxes on display,Y,Y,Y- good,Rachel,QN,SS,4/20,4,20,5/20,5,20,SA,4/20,4,20,5/20,5,20,,,,,,,
135,"Elmhurst Ave. (E,M,R)",8320 BROADWAY Queens NY 11373,11373,,Y,Y,Y-very good,Rachel,QN,SS,6/20,6,20,8/20,8,20,SA,8/21,8,21,10/21,10,21,,,,,,,
136,"Elmhurst Ave. (E,M,R)",8273 BROADWAY Queens NY 11373,11373,photos need to be brightened,Y,Y,Y- good,Rachel,QN,SS,12/24,12,24,12/24,12,24,SA,12/26,12,26,12/26,12,26,,,,,,,
137,"Elmhurst Ave. (E,M,R)",8261 BROADWAY Queens NY 11373,11373,pics to be brightened,Y,Y,Y- good,Rachel,QN,SS,11/34,11,34,15/34,15,17,SA,13/34,13,34,17/34,17,34,,,,,,,
138,"Jamaica Center - Parsons/Archer (E,J,Z)",16202 JAMAICA AVE Queens NY 11432,11432,,Y,N,Y,Rachel,QN,RL,24/83,24,83,24,35,83,SA,4/15,4,15,7/15,7,15,,,,,,,
139,"Jamaica Center - Parsons/Archer (E,J,Z)",8931 161ST ST Queens NY 11432,11432,,Y,Y,Y- acceptable,Rachel,QN,RL,9/14,9,14,5/14,5,14,SA,5/17,5,17,5/17,5,17,,,,,,,
140,"Jamaica Center - Parsons/Archer (E,J,Z)",15527 JAMAICA AVE Queens NY 11432,11432,only in boxes,Y,Y,Y,Rachel,QN,RL,9/15,9,15,6/15,6,15,SA,8/12,8,12,8/12,8,12,,,,,,,
141,"Jamaica Center - Parsons/Archer (E,J,Z)",8834 PARSONS BLVD Queens NY 11432,11432,partially blocked by vendor,Y,Y,Y- acceptable,Rachel,QN,RL,9/25,9,25,4/25,4,25,AV,9/36,9,36,9/36,9,36,,,,,,,
142,"Jamaica Center - Parsons/Archer (E,J,Z)",8974 162ND ST Queens NY 11432,11432,,Y,Y,Y,Rachel,QN,AV,11/36,11,36,25/36,15,36,SA,11/42,11,42,14/42,14,42,,,,,,,
143,"Jamaica Center - Parsons/Archer (E,J,Z)",15809 ARCHER AVE Queens NY 11433,11433,,Y,Y,Y-good,Rachel,QN,AV,22/100,22,100,22/100,22,100,SA,5/10,5,10,6/10,6,10,,,,,,,
144,"Jamaica Center - Parsons/Archer (E,J,Z)",8912 163RD ST Queens NY 11432,11432,no cigarettes visible,Y,N,Y- acceptable,,QN,AV,3/9,3,9,3/9,3,9,SA,3/10,3,10,4/10,4,10,,,,,,,
145,"Steinway St. (E,M,R)",3218 STEINWAY ST Queens NY 11103,11103,,Y,Y,Y- acceptable,Rachel,QN,AV,13/52,13,52,13/52,13,52,SA,21/76,21,76,25/76,25,76,,,,,,,
146,"Steinway St. (E,M,R)",3720 BROADWAY Queens NY 11103,11103,"difficult to count, difficult to distinguish cigs/ menthol",Y,Y,Y- acceptable,Rachel,QN,SS,2/18,2,18,4/18,4,18,SA,2/18,2,18,3/18,3,18,,,,,,,
147,"Steinway St. (E,M,R)",3714 BROADWAY Queens NY 11103,11103,,Y,Y,Y-  acceptable,Rachel,QN,SS,6/25,6,25,7/25,7,25,SA,5/29,5,29,7/29,7,29,,,,,,,
148,"Steinway St. (E,M,R)",4109 BROADWAY Queens NY 11103,11103,,Y,Y,Y- very good,Rachel,QN,SS,13/49,13,49,16/49,16,49,SA,11/52,11,52,15/52,15,52,,,,,,,
149,"Steinway St. (E,M,R)",4112 BROADWAY Queens NY 11103,11103,,Y,Y,Y- acceptable,Rachel,QN,SS,10/62,10,62,22/62,22,62,SA,12/64,12,64,19/64,19,64,,,,,,,
150,"Steinway St. (E,M,R)",3805 BROADWAY Queens NY 11103,11103,,Y,Y,Y- good,Rachel,QN,SS,27/72,27,72,31/72,31,72,SA,28/72,28,72,31/72,31,72,,,,,,,
151,"Steinway St. (E,M,R)",3802 BROADWAY Queens NY 11103,11103,,Y,Y,Y- very good,Rachel,QN,SS,21/73,21,73,27/73,27,73,SA,26/95,26,95,35/95,35,95,,,,,,,
153,"Canal St, 1 & 2 train",300 W BROADWAY Manhattan NY 10007,10007,,Y,Y,Y,Rachel,MN,RL,2/9,2,19,2/19,2,19,SG,14/25,14,125,25/125,25,125,,,,,,,
154,"Canal St, 1 & 2 train",374 CANAL ST Manhattan NY 10013,10013,,Y,Y,Y,Rachel,MN,RL,9/40,9,40,16/40,16,40,SG,12/42,12,42,19/42,19,42,,,,,,,
155,"Canal St, 1 & 2 train",377 CANAL ST Manhattan NY 10013,10013,,Y,Y,Y,Rachel,MN,RL,12/42,12,42,22/42,22,42,SG,14/64,14,64,22/64,22,64,,,,,,,
156,"Canal St, 1 & 2 train",383 CANAL ST Manhattan NY 10013,10013,,Y,Y,Y,Rachel,MN,RL,16/60,16,60,26/60,26,60,SG,17/79,17,79,20/79,20,79,,,,,,,
158,"Canal St, 1 & 2 train",386 CANAL ST Manhattan NY 10013,10013,,Y,Y,Y,Rachel,MN,RL,40/60,40,60,47/60,47,60,SG,5/24,5,24,7/24,7,24,,,,,,,
161,"Astoria - Ditmars Blvd. (N,Q)",2205 35th Street Queens NY 11105,11105,vendor partially blocking,Y,Y,Y,Rachel,QN,RL,10/120,10,120,30/120,30,120,SG,5/64,5,64,15/64,15,64,,,,,,,
163,"Astoria - Ditmars Blvd. (N,Q)",2213 31st Street Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,11/67,11,67,34/67,34,67,SG,23/84,23,84,44/84,44,84,,,,,,,
164,"Astoria - Ditmars Blvd. (N,Q)",2229 31st Street Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,5/52,5,52,11/52,11,52,SG,7/76,7,76,11/76,11,76,,,,,,,
165,"Astoria - Ditmars Blvd. (N,Q)",2244 31st Street Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,7/29,7,29,9/29,7,29,SG,7/56,7,56,7/56,7,56,,,,,,,
166,"Astoria - Ditmars Blvd. (N,Q)",2805 21st Avenue Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,5/15,5,15,8/15,8,15,SG,6/16,6,16,7/16,7,16,,,,,,,
167,"Astoria - Ditmars Blvd. (N,Q)",3103 21st Avenue Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,22/69,22,69,27/69,27,69,SG,21/96,21,96,28/96,28,96,,,,,,,
168,"Astoria - Ditmars Blvd. (N,Q)",3601 21st Avenue Queens NY 11105,11105,,Y,Y,Y,Rachel,QN,RL,2/26,2,26,9/26,9,26,SG,5/27,5,27,9/27,9,27,,,,,,,
127,"Astoria - Ditmars Blvd. (N,Q)",2805 21st Avenue,11105,,Y,Y,Y,Rachel,QN,RL,26/85,26,85,38/85,38,85,SA,26/85,26,85,38/85,38,85,,,,,,,
128,"Astoria - Ditmars Blvd. (N,Q)",3103 21st Avenue,11105,,Y,Y,Y,Rachel,QN,RL,27/57,27,57,32/57,32,57,SA,13/57,13,57,16/57,16,57,,,,,,,
129,"Astoria - Ditmars Blvd. (N,Q)",3601 21st Avenue,11105,,Y,Y,Y,Rachel,QN,RL,5/22,5,22,9/22,9,22,SA,8/76,8,76,8/76,8,76,,,,,,,